Timestamp,Ativo,ROI (%),Confiabilidade (%),Erro (%),Média Preço,Desvio-padrão,Sharpe,Skewness,Kurtosis
09:00,PETR4.SA,0.36,98.16,1.49,38.84,0.404,1.09,0.094,2.65
09:10,PETR4.SA,0.37,97.44,0.63,38.34,0.227,1.17,0.017,3.06
09:20,PETR4.SA,0.35,98.77,0.53,38.73,0.359,1.02,0.054,3.12
09:30,PETR4.SA,0.19,98.2,1.45,38.1,0.398,1.1,-0.028,2.59
09:40,PETR4.SA,0.41,97.91,0.68,38.81,0.516,1.05,-0.017,3.34
09:50,PETR4.SA,0.21,98.74,1.26,37.67,0.536,1.09,-0.03,3.12
10:00,PETR4.SA,0.26,98.23,1.33,38.94,0.493,1.05,-0.073,2.63
10:10,PETR4.SA,0.3,97.58,1.46,37.67,0.545,0.88,-0.043,3.47
10:20,PETR4.SA,0.3,97.13,1.37,37.75,0.474,1.18,-0.02,2.57
10:30,PETR4.SA,0.16,98.69,0.92,38.21,0.267,1.17,-0.1,2.55
10:40,PETR4.SA,0.25,97.87,0.68,37.7,0.51,0.88,0.086,3.37
10:50,PETR4.SA,0.43,98.38,0.54,38.85,0.192,1.16,0.047,2.76
11:00,PETR4.SA,0.38,99.39,1.45,38.21,0.31,1.06,-0.035,3.01
11:10,PETR4.SA,0.13,98.08,1.24,37.54,0.471,0.98,0.035,3.18
11:20,PETR4.SA,0.13,99.46,0.82,37.71,0.21,1.11,0.062,3.12
11:30,PETR4.SA,0.34,98.97,0.84,37.71,0.301,1.17,0.051,3.38
11:40,PETR4.SA,0.17,99.16,0.66,38.2,0.334,1.18,0.087,3.46
11:50,PETR4.SA,0.46,97.75,1.24,37.7,0.327,1.06,0.053,2.92
12:00,PETR4.SA,0.39,98.48,0.86,38.62,0.481,1.06,-0.043,3.01
12:10,PETR4.SA,0.5,97.99,1.17,37.92,0.367,0.83,0.092,3.32
12:20,PETR4.SA,0.17,99.09,0.83,37.82,0.319,0.9,-0.056,3.32
12:30,PETR4.SA,0.46,99.21,1.33,37.55,0.475,0.96,0.086,2.92
12:40,PETR4.SA,0.15,97.26,0.98,38.34,0.318,0.9,0.028,3.18
12:50,PETR4.SA,0.25,97.38,0.94,37.91,0.21,1.04,0.021,3.43
13:00,PETR4.SA,0.23,98.44,0.91,38.9,0.286,0.84,-0.09,3.12
13:10,PETR4.SA,0.38,99.3,1.12,37.72,0.348,0.89,-0.055,2.51
13:20,PETR4.SA,0.37,97.78,0.63,38.86,0.304,1.09,0.002,2.65
13:30,PETR4.SA,0.34,99.08,0.76,38.24,0.268,0.84,-0.084,3.2
13:40,PETR4.SA,0.44,97.96,1.35,38.66,0.418,1.2,0.074,3.07
13:50,PETR4.SA,0.29,98.19,1.35,38.58,0.313,1.07,0.066,2.58
14:00,PETR4.SA,0.11,97.2,1.1,38.76,0.295,1.01,-0.033,3.43
14:10,PETR4.SA,0.46,98.8,0.79,38.44,0.301,1.17,-0.049,3.2
14:20,PETR4.SA,0.25,98.51,1.34,38.78,0.495,0.8,-0.008,2.56
14:30,PETR4.SA,0.3,98.16,1.49,38.26,0.52,1.16,-0.012,2.71
14:40,PETR4.SA,0.49,99.44,1.03,38.64,0.295,0.88,-0.073,3.17
14:50,PETR4.SA,0.43,99.25,1.41,38.42,0.26,0.98,-0.049,2.55
15:00,PETR4.SA,0.23,97.64,1.29,37.86,0.485,1.18,0.014,3.38
15:10,PETR4.SA,0.38,99.33,1.41,38.67,0.288,0.9,-0.048,3.13
15:20,PETR4.SA,0.27,97.92,0.66,38.38,0.453,0.98,-0.086,2.76
15:30,PETR4.SA,0.35,98.04,0.81,37.79,0.364,1.09,-0.05,3.31
15:40,PETR4.SA,0.42,97.58,0.8,38.76,0.313,1.14,-0.027,3.36
15:50,PETR4.SA,0.42,97.22,1.42,38.61,0.329,1.06,0.014,2.85
16:00,PETR4.SA,0.17,98.98,1.49,37.78,0.219,1.06,-0.043,2.83
16:10,PETR4.SA,0.13,98.86,1.04,38.19,0.547,0.87,-0.037,2.78
16:20,PETR4.SA,0.15,98.71,1.09,38.8,0.564,1.15,0.072,3.21
16:30,PETR4.SA,0.17,97.91,1.06,37.66,0.253,1.14,-0.01,3.05
16:40,PETR4.SA,0.35,97.86,1.3,37.98,0.451,0.98,0.012,3.34
16:50,PETR4.SA,0.22,97.8,1.37,38.5,0.266,1.09,0.092,2.91
17:00,PETR4.SA,0.47,97.61,0.55,37.44,0.276,1.01,-0.082,2.67
17:10,PETR4.SA,0.25,98.83,1.26,38.15,0.25,0.92,-0.062,3.49
17:20,PETR4.SA,0.32,97.89,0.6,38.65,0.401,1.07,0.025,2.83
17:30,PETR4.SA,0.41,99.38,1.35,37.67,0.29,0.95,-0.093,2.79
17:40,PETR4.SA,0.34,98.11,0.95,38.42,0.564,1.09,-0.09,3.27
17:50,PETR4.SA,0.42,99.45,1.26,38.04,0.325,1.08,-0.041,3.33
18:00,PETR4.SA,0.36,98.15,1.25,38.14,0.368,1.08,0.091,2.61
09:00,VALE3.SA,0.17,98.13,1.48,70.67,0.501,1.03,-0.052,3.33
09:10,VALE3.SA,0.2,99.26,0.96,70.86,0.78,1.08,-0.006,3.18
09:20,VALE3.SA,0.15,99.32,1.15,71.22,0.784,0.82,0.089,3.0
09:30,VALE3.SA,0.46,99.26,0.64,72.51,0.503,1.12,-0.013,3.34
09:40,VALE3.SA,0.34,99.37,0.93,71.92,0.475,0.92,-0.063,2.77
09:50,VALE3.SA,0.19,97.33,1.11,70.34,0.544,0.89,0.064,3.23
10:00,VALE3.SA,0.15,98.91,0.64,70.2,0.994,1.02,-0.065,3.43
10:10,VALE3.SA,0.47,98.91,0.96,71.82,0.378,1.16,0.073,3.33
10:20,VALE3.SA,0.22,98.08,0.99,72.45,0.713,1.19,0.022,3.37
10:30,VALE3.SA,0.1,99.26,0.64,72.67,0.393,0.98,-0.009,3.11
10:40,VALE3.SA,0.24,99.17,1.48,71.83,0.392,0.91,0.021,3.45
10:50,VALE3.SA,0.26,98.46,1.34,70.11,0.594,0.8,0.005,3.41
11:00,VALE3.SA,0.16,98.13,0.6,72.39,1.057,0.96,-0.069,3.01
11:10,VALE3.SA,0.3,97.46,0.71,72.22,0.646,1.19,-0.019,2.7
11:20,VALE3.SA,0.25,97.13,0.73,70.96,0.969,1.16,-0.028,3.27
11:30,VALE3.SA,0.44,98.68,1.11,71.44,0.849,1.04,0.082,2.86
11:40,VALE3.SA,0.47,98.67,0.75,70.16,0.724,1.02,-0.09,3.08
11:50,VALE3.SA,0.2,97.69,0.59,72.16,0.611,0.93,-0.028,2.75
12:00,VALE3.SA,0.29,97.42,1.04,70.9,0.789,1.11,-0.054,3.13
12:10,VALE3.SA,0.38,99.13,1.32,71.29,0.732,1.07,-0.001,2.6
12:20,VALE3.SA,0.15,97.04,0.8,70.74,0.401,1.0,-0.064,2.7
12:30,VALE3.SA,0.46,97.66,0.76,71.49,1.056,0.81,0.049,2.87
12:40,VALE3.SA,0.19,97.26,1.42,71.33,0.481,1.17,-0.035,3.43
12:50,VALE3.SA,0.22,98.28,1.38,70.96,0.991,0.81,0.052,2.58
13:00,VALE3.SA,0.39,98.07,1.35,72.19,0.975,1.13,0.046,3.2
13:10,VALE3.SA,0.26,99.33,0.79,72.78,0.415,0.91,-0.012,3.09
13:20,VALE3.SA,0.4,98.6,1.43,70.13,0.74,1.06,0.024,2.74
13:30,VALE3.SA,0.5,98.87,0.52,71.94,0.836,0.92,-0.082,3.14
13:40,VALE3.SA,0.15,97.02,0.99,72.78,0.632,1.04,0.026,3.32
13:50,VALE3.SA,0.34,97.84,0.63,72.12,0.666,0.84,-0.028,3.01
14:00,VALE3.SA,0.16,99.16,0.56,72.9,0.763,0.97,0.032,2.91
14:10,VALE3.SA,0.31,99.0,0.79,70.63,0.499,1.05,-0.068,3.14
14:20,VALE3.SA,0.12,98.99,0.56,70.57,0.564,0.82,0.043,3.04
14:30,VALE3.SA,0.13,99.48,1.3,71.35,0.637,0.92,-0.014,3.18
14:40,VALE3.SA,0.46,98.8,0.97,72.3,0.902,1.04,-0.041,3.49
14:50,VALE3.SA,0.33,99.08,0.91,70.85,0.735,1.01,-0.029,2.92
15:00,VALE3.SA,0.38,97.39,1.17,71.54,0.521,1.01,-0.015,3.1
15:10,VALE3.SA,0.22,97.99,1.01,72.41,0.775,0.86,-0.1,3.19
15:20,VALE3.SA,0.26,99.15,0.66,71.08,0.811,1.09,0.059,2.55
15:30,VALE3.SA,0.28,97.9,0.68,71.96,0.473,1.13,0.008,2.56
15:40,VALE3.SA,0.31,97.99,1.14,72.85,0.851,1.2,0.077,3.3
15:50,VALE3.SA,0.4,97.3,1.03,71.68,0.953,1.16,-0.022,2.75
16:00,VALE3.SA,0.23,98.36,0.97,72.57,1.0,0.83,0.081,2.74
16:10,VALE3.SA,0.34,97.02,0.51,70.48,0.645,1.14,-0.015,3.05
16:20,VALE3.SA,0.27,99.07,1.06,70.97,0.715,1.15,-0.056,2.83
16:30,VALE3.SA,0.15,97.47,0.74,70.52,0.727,1.05,-0.075,3.46
16:40,VALE3.SA,0.32,99.16,1.25,72.58,1.05,0.98,0.079,3.12
16:50,VALE3.SA,0.13,97.67,1.3,71.94,0.982,0.86,-0.018,3.09
17:00,VALE3.SA,0.17,97.43,1.11,71.85,0.732,0.96,-0.052,2.69
17:10,VALE3.SA,0.4,97.61,1.16,71.14,0.381,1.03,-0.091,3.48
17:20,VALE3.SA,0.24,98.3,1.06,70.61,0.971,0.89,0.054,2.7
17:30,VALE3.SA,0.39,98.63,1.08,72.34,0.83,1.02,-0.016,3.36
17:40,VALE3.SA,0.27,99.29,0.56,71.83,0.443,1.02,-0.088,2.95
17:50,VALE3.SA,0.17,98.07,1.23,71.94,0.6,0.96,0.083,2.82
18:00,VALE3.SA,0.3,98.31,0.6,72.17,0.782,0.88,0.03,2.71
09:00,ITUB4.SA,0.45,98.94,1.2,28.34,0.407,1.15,0.004,2.62
09:10,ITUB4.SA,0.27,98.64,0.63,27.57,0.149,1.1,0.048,3.49
09:20,ITUB4.SA,0.11,98.95,0.65,27.36,0.195,1.04,0.079,2.7
09:30,ITUB4.SA,0.42,99.12,0.98,27.38,0.29,0.93,0.013,3.02
09:40,ITUB4.SA,0.34,99.05,0.78,28.14,0.176,1.02,-0.017,2.72
09:50,ITUB4.SA,0.35,98.5,1.06,27.64,0.327,1.17,-0.053,2.86
10:00,ITUB4.SA,0.27,98.94,0.89,27.42,0.212,1.07,-0.083,3.24
10:10,ITUB4.SA,0.46,98.95,1.46,27.56,0.257,1.17,-0.036,3.37
10:20,ITUB4.SA,0.19,98.68,1.27,27.49,0.163,0.9,0.1,3.44
10:30,ITUB4.SA,0.11,98.07,0.72,27.32,0.402,0.87,0.044,3.47
10:40,ITUB4.SA,0.14,97.37,1.43,28.01,0.229,0.81,-0.08,3.18
10:50,ITUB4.SA,0.27,97.3,1.16,27.56,0.347,0.83,0.014,2.61
11:00,ITUB4.SA,0.21,98.79,0.88,28.27,0.21,0.82,0.017,2.65
11:10,ITUB4.SA,0.4,99.33,0.57,27.25,0.251,0.99,-0.018,3.01
11:20,ITUB4.SA,0.47,97.5,1.5,27.98,0.289,0.86,0.054,2.67
11:30,ITUB4.SA,0.33,98.5,1.21,27.6,0.291,1.01,0.095,2.59
11:40,ITUB4.SA,0.33,98.33,0.78,27.46,0.184,0.91,0.02,2.98
11:50,ITUB4.SA,0.33,97.94,1.17,27.33,0.235,0.91,0.078,3.09
12:00,ITUB4.SA,0.15,99.39,0.88,28.35,0.305,1.09,0.09,2.74
12:10,ITUB4.SA,0.26,98.43,1.12,27.48,0.198,0.8,0.096,3.37
12:20,ITUB4.SA,0.36,97.91,0.59,27.96,0.293,0.87,0.086,3.04
12:30,ITUB4.SA,0.38,99.32,1.03,27.74,0.358,1.0,0.067,3.29
12:40,ITUB4.SA,0.15,97.44,1.33,28.06,0.182,0.92,0.083,2.87
12:50,ITUB4.SA,0.47,99.13,0.88,28.12,0.167,0.97,-0.015,2.7
13:00,ITUB4.SA,0.27,98.04,0.68,27.44,0.263,0.86,0.04,3.23
13:10,ITUB4.SA,0.25,98.75,1.38,27.89,0.403,0.88,-0.092,2.95
13:20,ITUB4.SA,0.25,98.05,1.17,27.3,0.213,0.9,-0.078,2.7
13:30,ITUB4.SA,0.44,98.99,1.48,27.93,0.175,0.87,-0.085,3.22
13:40,ITUB4.SA,0.44,99.01,0.75,27.35,0.35,1.17,-0.007,3.13
13:50,ITUB4.SA,0.26,98.59,0.77,27.41,0.306,0.87,0.079,3.09
14:00,ITUB4.SA,0.43,98.75,0.9,27.44,0.381,0.95,0.074,2.64
14:10,ITUB4.SA,0.37,98.29,1.14,28.14,0.235,0.87,0.004,2.88
14:20,ITUB4.SA,0.42,97.04,1.1,28.12,0.231,0.87,0.076,2.94
14:30,ITUB4.SA,0.13,99.0,1.33,27.52,0.163,1.04,0.011,3.24
14:40,ITUB4.SA,0.15,98.32,1.33,27.63,0.178,0.89,0.059,2.57
14:50,ITUB4.SA,0.37,97.81,1.08,27.89,0.384,0.99,-0.009,2.65
15:00,ITUB4.SA,0.22,99.2,1.5,28.15,0.313,1.17,-0.04,2.57
15:10,ITUB4.SA,0.14,97.44,0.81,27.4,0.305,1.09,-0.081,2.92
15:20,ITUB4.SA,0.33,98.38,1.34,27.45,0.354,1.01,-0.085,2.59
15:30,ITUB4.SA,0.38,99.2,1.09,27.6,0.373,0.98,-0.021,2.68
15:40,ITUB4.SA,0.4,98.19,0.99,28.29,0.37,1.04,0.069,2.76
15:50,ITUB4.SA,0.42,98.89,0.98,27.67,0.213,1.02,0.005,3.33
16:00,ITUB4.SA,0.11,97.6,1.42,27.99,0.359,0.99,-0.055,2.86
16:10,ITUB4.SA,0.14,98.58,0.64,27.84,0.16,0.95,0.094,3.09
16:20,ITUB4.SA,0.31,99.17,0.81,28.04,0.149,1.07,0.098,3.37
16:30,ITUB4.SA,0.23,99.34,1.33,27.33,0.221,0.93,0.068,3.41
16:40,ITUB4.SA,0.47,98.8,1.21,28.11,0.327,0.82,0.036,2.83
16:50,ITUB4.SA,0.27,99.15,0.75,28.1,0.168,0.81,0.049,2.61
17:00,ITUB4.SA,0.15,99.5,1.08,28.17,0.328,1.06,0.067,3.46
17:10,ITUB4.SA,0.39,99.34,1.37,28.08,0.334,1.08,0.025,3.37
17:20,ITUB4.SA,0.26,99.27,0.91,27.31,0.198,1.03,0.099,3.44
